ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
18843,44854,OH,OH_Crawford,OH_Crawford,1154,OH_Crawford,1827,NULL,40.949157,-82.840854
18844,44855,OH,OH_Huron,OH_Huron,1810,OH_Huron,1399,NULL,41.105896,-82.576937
18845,44856,OH,OH_Crawford,OH_Crawford,1154,OH_Crawford,-99,NULL,40.793515,-82.856692
18846,44857,OH,OH_Huron,OH_Huron,1810,OH_Huron,23253,NULL,41.218216,-82.583407
18847,44859,OH,OH_Ashland,OH_Ashland,586,OH_Ashland,1918,NULL,41.017443,-82.361687
18848,44860,OH,OH_Crawford,OH_Crawford,1154,OH_Crawford,-99,NULL,40.844841,-83.093444
18849,44861,OH,OH_Seneca,OH_Seneca,3046,OH_Seneca,-99,NULL,41.240957,-83.149412
18850,44862,OH,OH_Richland,OH_Richland,2896,OH_Richland,-99,NULL,40.763495,-82.513573
18851,44864,OH,OH_Ashland,OH_Ashland,586,OH_Ashland,2987,NULL,40.667869,-82.320744
18852,44865,OH,OH_Huron,OH_Huron,1810,OH_Huron,3745,NULL,40.992598,-82.660905
18853,44866,OH,OH_Ashland,OH_Ashland,586,OH_Ashland,2140,NULL,40.945037,-82.196527
